t,p,F
100,0.3018614516e-57,0.3018614516e-57
101,0.1951534285e-55,0.198172043e-55
102,0.6377580309e-54,0.6575752352e-54
103,0.1404565037e-52,0.147032256e-52
104,0.2345003538e-51,0.2492035794e-51
105,0.3165537464e-50,0.3414741044e-50
106,0.3598662558e-49,0.3940136662e-49
107,0.3543385174e-48,0.3937398841e-48
108,0.3084566666e-47,0.347830655e-47
109,0.2411397515e-46,0.275922817e-46
110,0.1713953003e-45,0.198987582e-45
111,0.1118694544e-44,0.1317682126e-44
112,0.6760420081e-44,0.8078102208e-44
113,0.3808688172e-43,0.4616498393e-43
114,0.2012140671e-42,0.247379051e-42
115,0.1001863874e-41,0.1249242925e-41
116,0.472200512e-41,0.5971248046e-41
117,0.211483905e-40,0.2711963854e-40
118,0.9030945606e-40,0.1174290946e-39
119,0.3688109136e-39,0.4862400082e-39
120,0.144431286e-38,0.1930552868e-38
121,0.54370213e-38,0.7367574169e-38
122,0.197177623e-37,0.2708533647e-37
123,0.690269155e-37,0.9611225196e-37
124,0.2336872261e-36,0.3297994781e-36
125,0.7663584115e-36,0.109615789e-35
126,0.2438233918e-35,0.3534391808e-35
127,0.7536666151e-35,0.1107105796e-34
128,0.2266268228e-34,0.3373374024e-34
129,0.6637395593e-34,0.1001076962e-33
130,0.1895516301e-33,0.2896593263e-33
131,0.5283921565e-33,0.8180514828e-33
132,0.1439161551e-32,0.2257213034e-32
133,0.3833407355e-32,0.6090620389e-32
134,0.9994373425e-32,0.1608499381e-31
135,0.2552533962e-31,0.4161033344e-31
136,0.6390902802e-31,0.1055193615e-30
137,0.1569776827e-30,0.2624970442e-30
138,0.3785222345e-30,0.6410192787e-30
139,0.8966011149e-30,0.1537620394e-29
140,0.2087484557e-29,0.362510495e-29
141,0.477981764e-29,0.840492259e-29
142,0.1076957641e-28,0.19174499e-28
143,0.238895784e-28,0.430640774e-28
144,0.5219792455e-28,0.9526200195e-28
145,0.1123918788e-27,0.2076538808e-27
146,0.2385866096e-27,0.4462404903e-27
147,0.4995399141e-27,0.9457804044e-27
148,0.1032006696e-26,0.19777871e-26
149,0.2104507083e-26,0.4082294183e-26
150,0.42377355e-26,0.8320029684e-26
151,0.8429193104e-26,0.1674922279e-25
152,0.1656736728e-25,0.3331659007e-25
153,0.321867311e-25,0.6550332118e-25
154,0.618288116e-25,0.1273321328e-24
155,0.1174694502e-24,0.244801583e-24
156,0.2208021063e-24,0.4656036893e-24
157,0.4107192999e-24,0.8763229892e-24
158,0.7562500807e-24,0.163257307e-23
159,0.1378715443e-23,0.3011288513e-23
160,0.2489310518e-23,0.5500599031e-23
161,0.4452266746e-23,0.9952865777e-23
162,0.789004863e-23,0.1784291441e-22
163,0.1385701851e-22,0.3169993292e-22
164,0.2412367058e-22,0.5582360351e-22
165,0.4163792996e-22,0.9746153346e-22
166,0.7126768591e-22,0.1687292194e-21
167,0.1209864445e-21,0.2897156639e-21
168,0.2037517206e-21,0.4934673845e-21
169,0.3404581377e-21,0.8339255222e-21
170,0.564545373e-21,0.1398470895e-20
171,0.9291356316e-21,0.2327606527e-20
172,0.1518010031e-20,0.3845616557e-20
173,0.2462370304e-20,0.6307986862e-20
174,0.3966259419e-20,0.1027424628e-19
175,0.6344855119e-20,0.166191014e-19
176,0.1008177561e-19,0.2670087701e-19
177,0.1591428383e-19,0.4261516084e-19
178,0.2495917231e-19,0.6757433315e-19
179,0.3889760081e-19,0.106471934e-18
180,0.6024484856e-19,0.1667167825e-18
181,0.9274165086e-19,0.2594584334e-18
182,0.1419186123e-18,0.4013770457e-18
183,0.2159055908e-18,0.6172826365e-18
184,0.3265858708e-18,0.9438685073e-18
185,0.4912329522e-18,0.1435101459e-17
186,0.7348192377e-18,0.2169920697e-17
187,0.1093255196e-17,0.3263175893e-17
188,0.16179104e-17,0.4881086293e-17
189,0.2381891556e-17,0.726297785e-17
190,0.3488716698e-17,0.1075169455e-16
191,0.5084241177e-17,0.1583593572e-16
192,0.7372975363e-17,0.2320891109e-16
193,0.1064030542e-16,0.3384921651e-16
194,0.1528261177e-16,0.4913182827e-16
195,0.2184790535e-16,0.7097973363e-16
196,0.3109040843e-16,0.1020701421e-15
197,0.4404354086e-16,0.1461136829e-15
198,0.6211709503e-16,0.208230778e-15
199,0.8722606349e-16,0.2954568414e-15
200,0.1219607131e-15,0.4174175545e-15
201,0.1698101849e-15,0.5872277394e-15
202,0.2354552739e-15,0.8226830133e-15
203,0.3251502609e-15,0.1147833274e-14
204,0.4472189311e-15,0.1595052205e-14
205,0.6126964379e-15,0.2207748643e-14
206,0.8361567411e-15,0.3043905384e-14
207,0.1136775288e-14,0.4180680673e-14
208,0.1539688799e-14,0.5720369471e-14
209,0.207772892e-14,0.7798098391e-14
210,0.2793624679e-14,0.1059172307e-13
211,0.3742790683e-14,0.1433451375e-13
212,0.4996844673e-14,0.1933135843e-13
213,0.6648030129e-14,0.2597938855e-13
214,0.8814758196e-14,0.3479414675e-13
215,0.1164852932e-13,0.4644267607e-13
216,0.1534255003e-13,0.6178522609e-13
217,0.2014242575e-13,0.8192765184e-13
218,0.2635938796e-13,0.1082870398e-12
219,0.3438660569e-13,0.1426736455e-12
220,0.4471923894e-13,0.1873928844e-12
221,0.5797901839e-13,0.2453719028e-12
222,0.7494428327e-13,0.3203161861e-12
223,0.965865823e-13,0.4169027684e-12
224,0.1241151429e-12,0.5410179113e-12
225,0.1590307465e-12,0.7000486578e-12
226,0.2031908166e-12,0.9032394744e-12
227,0.2588878362e-12,0.1162127311e-11
228,0.3289435655e-12,0.1491070876e-11
229,0.416821942e-12,0.1907892818e-11
230,0.526764005e-12,0.2434656823e-11
231,0.6639487231e-12,0.3098605546e-11
232,0.8346842006e-12,0.3933289747e-11
233,0.1046634424e-11,0.4979924171e-11
234,0.1309087481e-11,0.6289011652e-11
235,0.1633272044e-11,0.7922283696e-11
236,0.2032729901e-11,0.9955013597e-11
237,0.2523753399e-11,0.12478767e-10
238,0.3125897876e-11,0.1560466487e-10
239,0.3862580543e-11,0.1946724542e-10
240,0.4761778765e-11,0.2422902418e-10
241,0.5856842379e-11,0.3008586656e-10
242,0.7187436532e-11,0.3727330309e-10
243,0.8800633569e-11,0.4607393666e-10
244,0.1075217474e-10,0.568261114e-10
245,0.1310792499e-10,0.699340364e-10
246,0.1594554669e-10,0.8587958309e-10
247,0.1935642131e-10,0.1052360044e-9
248,0.2344785093e-10,0.1286838553e-9
249,0.2834557538e-10,0.1570294307e-9
250,0.3419664403e-10,0.1912260747e-9
251,0.4117268586e-10,0.2323987606e-9
252,0.4947362544e-10,0.281872386e-9
253,0.5933189724e-10,0.3412042833e-9
254,0.710172159e-10,0.4122214992e-9
255,0.8484196523e-10,0.4970634644e-9
256,0.1011672746e-9,0.598230739e-9
257,0.1204098572e-9,0.7186405962e-9
258,0.1430496924e-9,0.8616902886e-9
259,0.1696386383e-9,0.1031328927e-8
260,0.2008100719e-9,0.1232138999e-8
261,0.2372896581e-9,0.1469428657e-8
262,0.2799073595e-9,0.1749336017e-8
263,0.3296108051e-9,0.2078946822e-8
264,0.3874801463e-9,0.2466426968e-8
265,0.4547445375e-9,0.2921171505e-8
266,0.5328003857e-9,0.3453971891e-8
267,0.6232315275e-9,0.4077203419e-8
268,0.7278314963e-9,0.4805034915e-8
269,0.8486280582e-9,0.5653662973e-8
270,0.9879102017e-9,0.6641573175e-8
271,0.1148257777e-8,0.7789830952e-8
272,0.1332573997e-8,0.912240495e-8
273,0.1544121011e-8,0.1066652596e-7
274,0.1786558787e-8,0.1245308475e-7
275,0.2063987543e-8,0.1451707229e-7
276,0.2380993976e-8,0.1689806627e-7
