t,p,F
10,0.000010,0.000010
11,0.000063,0.000073
12,0.000215,0.000289
13,0.000540,0.000828
14,0.001110,0.001938
15,0.001983,0.003922
16,0.003192,0.007113
17,0.004736,0.011849
18,0.006585,0.018434
19,0.008687,0.027121
20,0.010969,0.038090
21,0.013354,0.051444
22,0.015759,0.067203
23,0.018111,0.085314
24,0.020343,0.105658
25,0.022401,0.128059
26,0.024243,0.152302
27,0.025840,0.178142
28,0.027175,0.205317
29,0.028243,0.233560
30,0.029044,0.262605
31,0.029590,0.292194
32,0.029894,0.322088
33,0.029975,0.352063
34,0.029854,0.381916
35,0.029553,0.411470
36,0.029096,0.440566
37,0.028505,0.469072
38,0.027801,0.496873
39,0.027005,0.523878
40,0.026136,0.550014
41,0.025210,0.575223
42,0.024243,0.599466
43,0.023248,0.622714
44,0.022238,0.644953
45,0.021224,0.666176
46,0.020212,0.686389
47,0.019213,0.705601
48,0.018230,0.723831
49,0.017270,0.741101
50,0.016336,0.757437
51,0.015432,0.772869
52,0.014560,0.787429
53,0.013721,0.801151
54,0.012918,0.814068
55,0.012150,0.826218
56,0.011417,0.837635
57,0.010720,0.848355
58,0.010058,0.858412
59,0.009430,0.867842
60,0.008836,0.876678
61,0.008274,0.884953
62,0.007745,0.892697
63,0.007245,0.899942
64,0.006775,0.906717
65,0.006332,0.913049
66,0.005916,0.918965
67,0.005526,0.924491
68,0.005159,0.929650
69,0.004816,0.934466
70,0.004494,0.938959
71,0.004192,0.943151
72,0.003910,0.947061
73,0.003646,0.950707
74,0.003399,0.954106
75,0.003168,0.957274
76,0.002953,0.960227
77,0.002751,0.962978
78,0.002563,0.965542
79,0.002388,0.967929
80,0.002224,0.970153
81,0.002071,0.972225
82,0.001929,0.974153
83,0.001796,0.975949
84,0.001672,0.977621
85,0.001557,0.979178
86,0.001449,0.980627
87,0.001349,0.981976
88,0.001255,0.983231
89,0.001168,0.984400
90,0.001087,0.985487
91,0.001012,0.986499
92,0.000942,0.987441
93,0.000876,0.988317
94,0.000815,0.989132
95,0.000759,0.989891
96,0.000706,0.990596
